Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Gender,Scholarship holder,Unemployment rate,Inflation rate,GDP,Target,Adult
4,39,1,9991,0,Complete Secondary Education,120.0,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Professionals,113.9,1,0,0,0,7.6,2.6,0.32,1,1
1,1,5,9773,1,Complete Secondary Education,126.0,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Management,121.1,0,0,0,0,12.7,3.7,-1.7,0,0
1,1,2,9147,1,Complete Secondary Education,133.0,Higher Education - Undergraduate,Incomplete Secondary Education,Management,Agriculture and Fishery,120.4,1,0,0,0,8.9,1.4,3.51,1,1
1,1,6,9500,1,Complete Secondary Education,103.0,Complete Secondary Education,Higher Education - Undergraduate,Management,Management,100.6,1,1,0,0,11.1,0.6,2.02,1,1
1,17,1,9773,1,Complete Secondary Education,120.0,Complete Secondary Education,Other Specific Qualifications,Administrative,Administrative,121.4,0,0,0,0,12.4,0.5,1.79,0,0
1,39,1,9991,0,Complete Secondary Education,133.1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,109.7,0,0,0,0,16.2,0.3,-0.92,0,1
1,17,1,9991,0,Complete Secondary Education,154.0,Other Specific Qualifications,Other Specific Qualifications,Technicians,Administrative,134.1,0,0,0,0,7.6,2.6,0.32,1,1
1,17,2,9238,1,Complete Secondary Education,130.0,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,127.6,1,0,0,0,11.1,0.6,2.02,1,0
1,17,6,9500,1,Complete Secondary Education,132.0,Other Specific Qualifications,Incomplete Secondary Education,Agriculture and Fishery,Agriculture and Fishery,132.4,1,0,0,1,11.1,0.6,2.02,1,1
1,44,1,8014,0,Other,130.0,Complete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,133.4,0,0,0,1,12.4,0.5,1.79,1,1
1,1,1,9238,1,Complete Secondary Education,139.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,126.1,0,0,0,1,12.7,3.7,-1.7,1,0
1,39,1,9254,1,Complete Secondary Education,130.0,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Agriculture and Fishery,113.5,0,0,0,1,12.4,0.5,1.79,1,1
1,1,1,9500,1,Complete Secondary Education,139.0,Other Specific Qualifications,Other Specific Qualifications,Service and Sales,Service and Sales,121.3,1,0,0,1,9.4,-0.8,-3.12,1,0
1,1,1,9773,1,Complete Secondary Education,127.0,Complete Secondary Education,Incomplete Secondary Education,Agriculture and Fishery,Agriculture and Fishery,121.8,1,0,0,1,9.4,-0.8,-3.12,1,0
1,1,3,9130,1,Complete Secondary Education,167.0,Other Specific Qualifications,Other Specific Qualifications,Other,Other,159.3,0,0,0,0,7.6,2.6,0.32,1,0
1,39,1,9991,0,Complete Secondary Education,130.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,120.0,0,0,0,0,9.4,-0.8,-3.12,0,1
1,1,1,9500,1,Complete Secondary Education,130.0,Complete Secondary Education,Incomplete Secondary Education,Administrative,Administrative,129.1,1,0,0,0,15.5,2.8,-4.06,1,0
2,7,1,9254,1,Higher Education - Bachelor/Degree,130.0,Complete Secondary Education,Higher Education - Undergraduate,Technicians,Professionals,130.0,0,0,0,0,12.4,0.5,1.79,0,1
1,39,1,9130,1,Other,129.0,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Management,155.3,1,0,0,0,12.4,0.5,1.79,0,1
1,17,1,9500,1,Complete Secondary Education,141.0,Other Specific Qualifications,Other Specific Qualifications,Agriculture and Fishery,Elementary Occupations,139.8,1,0,0,0,9.4,-0.8,-3.12,1,0
1,1,3,171,1,Complete Secondary Education,125.0,Other Specific Qualifications,Other Specific Qualifications,Technicians,Plant and Machine Operators,115.2,1,0,0,0,7.6,2.6,0.32,1,0
1,1,2,9500,1,Complete Secondary Education,125.0,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,114.9,0,0,0,0,16.2,0.3,-0.92,1,0
1,44,1,9238,1,Other,130.0,Incomplete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,131.9,0,0,0,1,13.9,-0.3,0.79,1,1
1,17,3,171,1,Complete Secondary Education,133.0,Complete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,126.0,1,0,1,1,10.8,1.4,1.74,1,0
1,17,1,9070,1,Complete Secondary Education,127.0,Complete Secondary Education,Complete Secondary Education,Professionals,Technicians,130.2,1,0,1,0,10.8,1.4,1.74,1,0
1,43,1,9070,1,Complete Secondary Education,116.0,Complete Secondary Education,Complete Secondary Education,Professionals,Professionals,120.9,0,0,1,0,12.7,3.7,-1.7,1,1
4,42,1,9500,1,Other,133.1,Complete Secondary Education,Complete Secondary Education,Administrative,Administrative,126.0,1,0,1,0,13.9,-0.3,0.79,0,1
1,1,3,171,1,Complete Secondary Education,139.0,Incomplete Secondary Education,Incomplete Secondary Education,Administrative,Professionals,128.2,1,0,1,1,10.8,1.4,1.74,1,0
1,44,1,9003,1,Other,130.0,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,130.0,1,0,1,0,8.9,1.4,3.51,1,1
1,1,3,9147,1,Complete Secondary Education,125.0,Complete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Agriculture and Fishery,120.1,0,0,1,0,16.2,0.3,-0.92,0,0
1,39,1,9254,1,Complete Secondary Education,160.0,Incomplete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Elementary Occupations,100.0,0,0,1,0,12.7,3.7,-1.7,1,1
1,17,1,9147,1,Complete Secondary Education,148.0,Other Specific Qualifications,Other Specific Qualifications,Administrative,Administrative,134.0,0,0,1,0,7.6,2.6,0.32,1,0
1,17,1,9500,1,Complete Secondary Education,150.0,Other Specific Qualifications,Incomplete Secondary Education,Craft and Related Trades,Technicians,130.8,0,0,1,0,13.9,-0.3,0.79,1,1
1,1,1,171,1,Complete Secondary Education,141.0,Incomplete Secondary Education,Incomplete Secondary Education,Administrative,Elementary Occupations,135.8,1,0,1,0,15.5,2.8,-4.06,0,0
1,17,4,9254,1,Complete Secondary Education,118.0,Other Specific Qualifications,Other Specific Qualifications,Administrative,Agriculture and Fishery,111.7,1,0,1,0,12.4,0.5,1.79,0,0
1,1,2,9773,1,Complete Secondary Education,142.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,132.9,1,0,1,0,10.8,1.4,1.74,1,0
1,17,3,9147,1,Complete Secondary Education,120.0,Incomplete Secondary Education,Incomplete Secondary Education,Technicians,Agriculture and Fishery,115.5,1,0,1,0,10.8,1.4,1.74,0,0
1,18,4,9254,1,Complete Secondary Education,106.0,Incomplete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Agriculture and Fishery,106.0,1,0,1,1,9.4,-0.8,-3.12,0,1
1,17,4,9773,1,Complete Secondary Education,121.0,Complete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Craft and Related Trades,120.3,1,0,1,1,8.9,1.4,3.51,1,0
1,17,4,9500,1,Complete Secondary Education,150.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,130.8,0,0,1,1,16.2,0.3,-0.92,1,1
2,39,1,8014,0,Complete Secondary Education,120.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Service and Sales,117.0,0,0,1,0,10.8,1.4,1.74,1,1
1,1,6,9853,1,Complete Secondary Education,114.0,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,110.2,1,0,1,0,10.8,1.4,1.74,0,0
1,39,1,9991,0,Higher Education - Bachelor/Degree,140.0,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Management,155.7,1,0,1,0,10.8,1.4,1.74,0,1
1,17,1,9254,1,Complete Secondary Education,120.0,Incomplete Secondary Education,Incomplete Secondary Education,Technicians,Technicians,125.5,0,0,1,0,12.7,3.7,-1.7,1,0
2,39,1,8014,0,Complete Secondary Education,130.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Service and Sales,110.0,1,0,0,0,9.4,-0.8,-3.12,1,1
1,42,1,9500,1,Complete Secondary Education,160.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Agriculture and Fishery,161.0,1,0,0,1,10.8,1.4,1.74,1,1
1,39,1,9670,1,Complete Secondary Education,120.0,Complete Secondary Education,Incomplete Secondary Education,Technicians,Administrative,100.0,0,0,0,1,9.4,-0.8,-3.12,1,1
1,17,1,9070,1,Complete Secondary Education,124.0,Incomplete Secondary Education,Other Specific Qualifications,Technicians,Other,117.6,1,0,1,0,7.6,2.6,0.32,1,0
1,1,6,9147,1,Complete Secondary Education,143.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,128.7,1,0,1,0,11.1,0.6,2.02,1,1
1,43,2,9119,1,Complete Secondary Education,115.0,Other Specific Qualifications,Incomplete Secondary Education,Plant and Machine Operators,Service and Sales,112.2,1,0,1,0,15.5,2.8,-4.06,1,0
1,39,1,9500,1,Complete Secondary Education,133.1,Complete Secondary Education,Complete Secondary Education,Technicians,Elementary Occupations,100.8,0,0,1,0,13.9,-0.3,0.79,0,1
2,39,1,8014,0,Complete Secondary Education,133.1,Other Specific Qualifications,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,114.0,0,0,0,0,12.7,3.7,-1.7,1,1
1,1,5,9773,1,Complete Secondary Education,135.0,Other Specific Qualifications,Complete Secondary Education,Administrative,Administrative,124.9,1,0,0,0,8.9,1.4,3.51,1,0
1,1,5,9500,1,Complete Secondary Education,132.0,Other Specific Qualifications,Other Specific Qualifications,Agriculture and Fishery,Agriculture and Fishery,120.3,1,0,0,1,12.4,0.5,1.79,1,0
1,1,1,9085,1,Complete Secondary Education,135.0,Complete Secondary Education,Higher Education - Undergraduate,Plant and Machine Operators,Management,134.3,1,0,0,0,12.7,3.7,-1.7,1,0
1,1,4,9500,1,Complete Secondary Education,115.0,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Management,111.5,1,0,0,0,13.9,-0.3,0.79,0,0
1,53,1,9085,1,Other,130.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,128.8,0,0,0,0,8.9,1.4,3.51,0,1
1,1,4,171,1,Complete Secondary Education,133.1,Complete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Elementary Occupations,110.0,1,0,0,0,16.2,0.3,-0.92,1,0
2,39,1,8014,0,Complete Secondary Education,130.0,Other Specific Qualifications,Other Specific Qualifications,Service and Sales,Administrative,113.5,1,0,0,0,9.4,-0.8,-3.12,0,1
4,39,1,9003,1,Basic Education (3rd Cycle),133.1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Service and Sales,160.0,0,0,0,0,15.5,2.8,-4.06,1,1
1,18,1,9853,1,Complete Secondary Education,123.0,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Agriculture and Fishery,117.4,1,0,0,0,11.1,0.6,2.02,0,0
1,51,1,9070,1,Complete Secondary Education,130.0,Higher Education - Undergraduate,Complete Secondary Education,Management,Craft and Related Trades,122.2,0,0,0,0,11.1,0.6,2.02,1,0
1,1,2,9238,1,Complete Secondary Education,122.0,Other Specific Qualifications,Other Specific Qualifications,Technicians,Agriculture and Fishery,118.2,1,0,0,0,16.2,0.3,-0.92,0,0
1,1,1,9085,1,Complete Secondary Education,113.0,Complete Secondary Education,Complete Secondary Education,Technicians,Technicians,106.7,1,0,0,0,15.5,2.8,-4.06,0,0
1,1,5,9500,1,Complete Secondary Education,111.0,Higher Education - Undergraduate,Higher Education - Undergraduate,Technicians,Professionals,108.2,1,0,0,0,12.4,0.5,1.79,0,0
1,17,2,9853,1,Complete Secondary Education,133.1,Incomplete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Professionals,107.0,1,0,0,0,16.2,0.3,-0.92,1,0
1,1,1,9238,1,Complete Secondary Education,142.0,Other Specific Qualifications,Other Specific Qualifications,Service and Sales,Agriculture and Fishery,136.1,1,0,0,0,13.9,-0.3,0.79,1,0
1,17,2,9147,1,Complete Secondary Education,123.0,Complete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,115.3,1,0,0,1,8.9,1.4,3.51,1,0
1,1,1,9085,1,Complete Secondary Education,131.0,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,139.8,1,0,0,0,10.8,1.4,1.74,1,0
1,1,3,9773,1,Complete Secondary Education,158.0,Complete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,157.0,1,0,0,0,10.8,1.4,1.74,1,0
1,17,2,9500,1,Complete Secondary Education,122.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,131.0,1,0,0,0,7.6,2.6,0.32,0,0
1,43,1,9500,1,Complete Secondary Education,130.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Administrative,100.0,0,0,0,0,13.9,-0.3,0.79,1,0
1,17,1,9238,1,Complete Secondary Education,154.0,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Agriculture and Fishery,140.4,1,0,0,1,7.6,2.6,0.32,1,0
1,17,1,9147,1,Complete Secondary Education,120.0,Incomplete Secondary Education,Incomplete Secondary Education,Professionals,Professionals,113.4,0,0,0,0,12.4,0.5,1.79,1,0
1,1,2,9085,1,Complete Secondary Education,140.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Agriculture and Fishery,137.0,0,0,0,0,9.4,-0.8,-3.12,1,0
1,1,1,9147,1,Complete Secondary Education,127.0,Higher Education - Undergraduate,Incomplete Secondary Education,Technicians,Administrative,121.8,0,0,0,0,11.1,0.6,2.02,1,0
1,17,1,9254,1,Complete Secondary Education,133.1,Complete Secondary Education,Complete Secondary Education,Technicians,Administrative,131.0,1,0,0,0,9.4,-0.8,-3.12,0,1
1,1,2,9147,1,Complete Secondary Education,120.0,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Agriculture and Fishery,118.6,1,0,0,0,16.2,0.3,-0.92,1,0
1,1,1,171,1,Complete Secondary Education,137.0,Higher Education - Undergraduate,Incomplete Secondary Education,Management,Plant and Machine Operators,122.3,0,0,0,0,10.8,1.4,1.74,0,0
1,1,1,9670,1,Complete Secondary Education,131.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,127.9,0,0,0,1,9.4,-0.8,-3.12,1,0
1,1,1,9085,1,Complete Secondary Education,130.0,Incomplete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,121.3,1,0,0,0,15.5,2.8,-4.06,1,0
1,17,6,9556,1,Complete Secondary Education,122.0,Complete Secondary Education,Complete Secondary Education,Technicians,Administrative,117.1,1,0,0,0,13.9,-0.3,0.79,0,0
1,44,1,9085,1,Other,160.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,160.0,1,0,0,0,12.4,0.5,1.79,1,0
1,1,1,9853,1,Complete Secondary Education,146.0,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Professionals,145.3,1,0,0,1,9.4,-0.8,-3.12,1,0
1,17,3,9238,1,Complete Secondary Education,131.0,Complete Secondary Education,Other Specific Qualifications,Administrative,Professionals,122.6,1,0,0,0,12.4,0.5,1.79,1,0
1,17,6,9500,1,Complete Secondary Education,132.0,Complete Secondary Education,Other Specific Qualifications,Craft and Related Trades,Plant and Machine Operators,128.0,1,0,0,0,12.4,0.5,1.79,1,0
1,1,3,9500,1,Complete Secondary Education,138.0,Incomplete Secondary Education,Incomplete Secondary Education,Administrative,Craft and Related Trades,124.9,1,0,0,1,13.9,-0.3,0.79,0,0
1,17,2,9070,1,Complete Secondary Education,130.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,123.7,1,0,0,0,7.6,2.6,0.32,1,0
1,1,4,9147,1,Complete Secondary Education,126.0,Complete Secondary Education,Incomplete Secondary Education,Technicians,Craft and Related Trades,120.1,1,0,0,0,8.9,1.4,3.51,1,0
1,17,6,9500,1,Complete Secondary Education,148.0,Complete Secondary Education,Incomplete Secondary Education,Professionals,Professionals,131.7,1,0,0,0,13.9,-0.3,0.79,0,0
1,43,1,9238,1,Complete Secondary Education,130.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Agriculture and Fishery,133.2,0,0,0,0,7.6,2.6,0.32,1,0
1,1,1,9670,1,Complete Secondary Education,117.0,Complete Secondary Education,Other Specific Qualifications,Professionals,Plant and Machine Operators,109.3,0,0,0,1,12.4,0.5,1.79,0,0
1,17,1,9670,1,Complete Secondary Education,120.0,Incomplete Secondary Education,Incomplete Secondary Education,Administrative,Administrative,113.0,1,0,0,0,7.6,2.6,0.32,1,0
1,1,1,9773,1,Complete Secondary Education,153.0,Complete Secondary Education,Complete Secondary Education,Other,Other,157.9,0,0,0,1,8.9,1.4,3.51,1,0
1,1,2,9500,1,Complete Secondary Education,117.0,Incomplete Secondary Education,Complete Secondary Education,Technicians,Agriculture and Fishery,112.1,0,0,0,1,11.1,0.6,2.02,1,0
1,18,1,9500,1,Complete Secondary Education,178.0,Incomplete Secondary Education,Complete Secondary Education,Technicians,Craft and Related Trades,174.7,0,0,0,0,13.9,-0.3,0.79,1,0
1,1,5,9500,1,Complete Secondary Education,129.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,128.8,1,0,0,0,7.6,2.6,0.32,1,0
1,1,6,9773,1,Complete Secondary Education,116.0,Incomplete Secondary Education,Complete Secondary Education,Technicians,Technicians,110.1,1,0,0,1,12.4,0.5,1.79,1,0
1,51,1,9147,1,Complete Secondary Education,99.0,Higher Education - Undergraduate,Complete Secondary Education,Professionals,Professionals,99.7,1,0,0,0,8.9,1.4,3.51,1,1
1,1,3,9238,1,Complete Secondary Education,135.0,Complete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Elementary Occupations,121.0,1,0,0,1,12.4,0.5,1.79,1,0
1,1,3,9500,1,Complete Secondary Education,141.0,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Agriculture and Fishery,131.7,1,0,0,1,15.5,2.8,-4.06,1,0
1,17,5,9853,1,Complete Secondary Education,132.0,Other Specific Qualifications,Other Specific Qualifications,Administrative,Service and Sales,119.1,1,0,0,1,9.4,-0.8,-3.12,1,0
1,1,4,9254,1,Complete Secondary Education,132.0,Complete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,124.7,1,0,0,0,7.6,2.6,0.32,0,0
1,17,1,9254,1,Complete Secondary Education,113.0,Complete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Elementary Occupations,117.2,1,0,0,0,7.6,2.6,0.32,0,0
1,1,1,9147,1,Complete Secondary Education,134.0,Higher Education - Undergraduate,Incomplete Secondary Education,Management,Elementary Occupations,128.8,0,0,0,0,13.9,-0.3,0.79,1,0
1,1,1,9500,1,Complete Secondary Education,136.0,Complete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,131.5,0,0,0,1,11.1,0.6,2.02,1,0
1,1,1,171,1,Complete Secondary Education,136.0,Higher Education - Undergraduate,Other Specific Qualifications,Management,Craft and Related Trades,121.7,1,0,0,0,9.4,-0.8,-3.12,1,0
1,1,1,9085,1,Complete Secondary Education,129.0,Complete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,123.4,0,0,0,0,7.6,2.6,0.32,1,0
1,17,1,9853,1,Complete Secondary Education,138.0,Other Specific Qualifications,Other Specific Qualifications,Agriculture and Fishery,Service and Sales,124.7,1,0,0,0,9.4,-0.8,-3.12,1,0
1,1,1,9853,1,Complete Secondary Education,137.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,132.8,1,0,0,0,7.6,2.6,0.32,1,0
1,43,1,9853,1,Complete Secondary Education,115.0,Higher Education - Undergraduate,Other Specific Qualifications,Management,Administrative,108.7,1,0,0,0,9.4,-0.8,-3.12,0,1
1,1,1,9853,1,Complete Secondary Education,129.0,Other Specific Qualifications,Other Specific Qualifications,Service and Sales,Service and Sales,138.1,0,0,0,0,7.6,2.6,0.32,0,0
1,1,1,9147,1,Complete Secondary Education,131.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,126.5,0,0,0,1,12.4,0.5,1.79,1,0
